stv_id,token_symbol,token_address
0x3912b28dad3da0267e9169210fcbdb117ea3eff5,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x6659256969054be6cc16642b3c4f1b81e17c14c8,DOGE-PERP,0xac28ac205275d7c2d6877bea8657cebe04fd9ae9
0x0b232eaeb72580f9d23f14307fc1dcf0ec5f9f3b,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x6fc51bfb6126a91262bccbdf342a519264c89ec4,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x95f048c625f77ccf8a363fbb33a54babe66ab081,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xb1775c471044ec92803af2f177a2850c4f38254f,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xf7ced79c2fc4b1479d7d106e47d10be32e375395,DOGE-PERP,0xac28ac205275d7c2d6877bea8657cebe04fd9ae9
0x5aba9c9f4cd64c4edca59ed63f41904e07c9140d,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x1386fad968239a97f149d6357685b187d02a8de5,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x6aa98c3ef67558acc51159907c9c19e99a230131,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xbd28d78d50581423fb3d47e86de7632a2918bc71,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x5c32b13210e45a346283448ded3b95b918ee7aa8,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x8e4bd7c96540b7b35d2fcdea72152606868b6038,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x2fc27f892b9c9553cb1c3b3033069df95936c3e0,INJ-PERP,0xa63de7f89ba1270b85f3dcc193ff1a1390a7c7c7
0x955b7040802d48c3793ad0f61bd1fa583a0b689e,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xfaa0f10435a0be14a3305643dba02b0c96131a83,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0xc05fdc5593e65c8e27391bc591c389cc7379fb29,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0xafaef3a2fe07ca9a784c28e28fc0b60f7a3ef6c4,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
0x90966e7bcfc5d0d35ee8c0b158c735ce396c9c0f,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x30d35abffc83eba06f62e437dd9cc592a84bc0cb,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x76120f0ef713e9baa09912fbabe6c6acb8b3ff2e,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x82a37c03bbadb6098ceadbb86adcbd2f1eb70786,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x1957e7705125abdf4dba36b54486dbd68e1b1131,SUI-PERP,0x5ecf68f983253a818ca8c17a56a4f2fb48d6ec6b
0xdd65c9e7afa6fb4aee4284aef2f0bbfc916202e4,BTC-PERP,0xF03f457a30e598d5020164a339727Ef40f2B8fbC
0x3e4c8e93eb060279ab6f1a996f5b4acc164486e5,TIA-PERP,0xa64e04ed4b223a71e524dc7ebb7f28e422ccfdde
0x87453eacea1e0dd81995752ae182219b5538b58a,ETH-PERP,0xfe653438a1a4a7f56e727509c341d60a7b54fa91
